ID_Block, Height, N_leaves, N_Transactions, TreeTime, TotalTime, Capacity
479869, 4, 375, 11996, 28550500, 374672800, 8
479870, 4, 113, 3600, 3582400, 374672800, 8
479871, 4, 233, 7448, 5732500, 374672800, 8
479872, 4, 395, 12616, 8437000, 374672800, 8
479873, 5, 612, 24475, 8113700, 374672800, 8
479874, 5, 633, 25295, 5655800, 374672800, 8
479875, 4, 501, 16028, 16461800, 374672800, 8
479876, 5, 1102, 44080, 12940600, 374672800, 8
479877, 4, 406, 12992, 4601200, 374672800, 8
479878, 5, 1206, 48215, 12512900, 374672800, 8
479879, 5, 1008, 40320, 9132600, 374672800, 8
479880, 5, 941, 37640, 8288800, 374672800, 8
479881, 4, 331, 10572, 2308300, 374672800, 8
479882, 5, 564, 22535, 4046000, 374672800, 8
479883, 5, 950, 37990, 6594200, 374672800, 8
479884, 5, 784, 31355, 5858400, 374672800, 8
479885, 5, 811, 32425, 5779500, 374672800, 8
479886, 5, 658, 26310, 5272200, 374672800, 8
479887, 5, 680, 27165, 4803000, 374672800, 8
479888, 5, 700, 27985, 4422200, 374672800, 8
479889, 4, 411, 13124, 4331100, 374672800, 8
479890, 4, 494, 15804, 3089600, 374672800, 8
479891, 4, 469, 15008, 2664700, 374672800, 8
479892, 4, 458, 14656, 2823300, 374672800, 8
479893, 5, 761, 30440, 4027900, 374672800, 8
479894, 5, 622, 24860, 2716600, 374672800, 8
479895, 5, 583, 23290, 2497200, 374672800, 8
479896, 4, 507, 16216, 2090200, 374672800, 8
479897, 5, 907, 36280, 4194000, 374672800, 8
479898, 5, 595, 23765, 2638200, 374672800, 8
479899, 4, 486, 15548, 1807700, 374672800, 8
479900, 4, 368, 11748, 1294900, 374672800, 8
479901, 5, 1129, 45125, 4102500, 374672800, 8
479902, 5, 545, 21775, 2189000, 374672800, 8
479903, 5, 826, 33020, 3403200, 374672800, 8
479904, 5, 572, 22870, 2095400, 374672800, 8
479905, 5, 863, 34495, 3506000, 374672800, 8
479906, 5, 703, 28100, 2733000, 374672800, 8
479907, 5, 849, 33950, 3152600, 374672800, 8
479908, 5, 614, 24545, 2391400, 374672800, 8
479909, 5, 570, 22790, 4388900, 374672800, 8
479910, 5, 675, 26975, 5282000, 374672800, 8
479911, 5, 593, 23705, 3695700, 374672800, 8
479912, 5, 641, 25615, 2832400, 374672800, 8
479913, 5, 598, 23885, 2517500, 374672800, 8
479914, 5, 611, 24425, 2432100, 374672800, 8
479915, 4, 495, 15836, 2025800, 374672800, 8
479916, 5, 644, 25735, 2611500, 374672800, 8
479917, 5, 819, 32760, 3213800, 374672800, 8
479918, 5, 599, 23930, 2359200, 374672800, 8
479919, 5, 595, 23785, 2438200, 374672800, 8
479920, 5, 622, 24880, 2603400, 374672800, 8
479921, 5, 929, 37130, 3280400, 374672800, 8
479922, 5, 521, 20840, 1821600, 374672800, 8
479923, 5, 693, 27685, 2379400, 374672800, 8
479924, 5, 809, 32345, 2758000, 374672800, 8
479925, 4, 499, 15944, 1704400, 374672800, 8
479926, 4, 376, 12020, 1347400, 374672800, 8
479927, 5, 592, 23650, 2120300, 374672800, 8
479928, 4, 480, 15356, 1738100, 374672800, 8
479929, 5, 736, 29430, 3585200, 374672800, 8
479930, 5, 650, 25975, 3674400, 374672800, 8
479931, 4, 495, 15828, 2701700, 374672800, 8
479932, 5, 599, 23945, 3055000, 374672800, 8
479933, 5, 795, 31790, 3193400, 374672800, 8
479934, 4, 458, 14656, 1521600, 374672800, 8
479935, 5, 762, 30445, 2606100, 374672800, 8
479936, 5, 649, 25945, 2131000, 374672800, 8
479937, 5, 606, 24225, 2012500, 374672800, 8
479938, 5, 736, 29425, 2525700, 374672800, 8
479939, 5, 597, 23865, 2825300, 374672800, 8
479940, 4, 406, 12976, 2111200, 374672800, 8
479941, 5, 650, 25970, 3554700, 374672800, 8
479942, 5, 604, 24145, 3131300, 374672800, 8
479943, 5, 554, 22150, 2821600, 374672800, 8
479944, 4, 455, 14544, 2162600, 374672800, 8
479945, 4, 451, 14408, 2354500, 374672800, 8
479946, 4, 363, 11592, 1790200, 374672800, 8
479947, 5, 597, 23875, 2310200, 374672800, 8
479948, 5, 526, 21025, 1706900, 374672800, 8
479949, 5, 723, 28900, 2341000, 374672800, 8
479950, 4, 498, 15932, 1628400, 374672800, 8
479951, 5, 697, 27845, 2298400, 374672800, 8
479952, 5, 735, 29370, 2467300, 374672800, 8
479953, 5, 685, 27400, 2244100, 374672800, 8
479954, 5, 727, 29045, 2613100, 374672800, 8
479955, 5, 667, 26675, 3340600, 374672800, 8
479956, 5, 851, 34040, 4208300, 374672800, 8
479957, 5, 658, 26300, 3384900, 374672800, 8
479958, 4, 207, 6616, 922600, 374672800, 8
479959, 4, 431, 13768, 2059200, 374672800, 8
479960, 5, 536, 21415, 2811700, 374672800, 8
479961, 5, 619, 24725, 3096100, 374672800, 8
479962, 5, 630, 25170, 2635800, 374672800, 8
479963, 5, 650, 25975, 2127500, 374672800, 8
479964, 5, 637, 25455, 2058200, 374672800, 8
479965, 4, 218, 6956, 661000, 374672800, 8
479966, 5, 680, 27180, 2147200, 374672800, 8
479967, 4, 66, 2104, 187200, 374672800, 8
479968, 5, 702, 28075, 2218200, 374672800, 8
479969, 5, 513, 20500, 1789000, 374672800, 8
